Nombre Escuela,Latitud,longitud,Cantidad de Estudiantes,Total
ESCUELA RURAL  EL SALITRE,4.214148,-74.32919,11,
ESCUELA  RURAL BERLIN,4.232833,-74.42738,20,
ESCUELA RURAL  EL RECUERDO,4.239218,-74.40837,17,
ESCUELA RURAL  SAN ROQUE,4.265457,-74.45909,11,
ESCUELA RURAL  EL VERGEL,4.238968,-74.42317,3,
ESCUELA RURAL VERSALLES,4.238968,-74.42317,11,
ESCUELA RURAL EL CUARTEL,4.249005,-74.45769,4,
ESCUELA RURAL SABANETA,4.242313,-74.44085,3,
ESCUELA RURAL  LA LAJITA,4.265178,-74.40941,17,
ESCUELA RURAL  LA MESA,4.269083,-74.44226,11,
ESCUELA  RURAL TISCINCE,,,20,
ESCUELA RURAL  DE LA HONDA,,,32,
ESCUELA RURAL  EL SAMANO,,,7,
ESCUELA RURAL  LA ARABIA,,,150,
ESCUELA RURAL  LA VICTORIA,,,33,
ESCUELA RURAL  LAS MERCEDES,,,6,
ESCUELA RURAL  SANTA BARBARA,,,22,
ESCUELA RURAL  SANTA ROSA,,,13,
ESCUELA RURAL DE SAN LUIS,,,16,
ESCUELA RURAL DE SAN MIGUEL,,,10,
ESCUELA RURAL EL TRIUNFO,,,9,
,,,,426
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ESCUELA RURAL  SAN RAFAEL,,,,
ESCUELA RU- RAL DE SAN LUIS,,,,
ESCUELA RURAL  EL VERGEL,,,,
ESCUELA RURAL  EL SAMANO,,,,
ESCUELA RU- RAL  SANTA BARBARA,,,,
ESCUELA RURAL  LA LAJITA,,,,
GIM CAMP LOS CHANI- TOS,,,,
ESCUELA RURAL SABA- NETA,,,,
INST. EDUC. DEPTAL RU- RAL ZARA- GOZA,,,,
ESCUELA RURAL VER- SALLES,,,,
ESCUELA RURAL EL TRIUNFO,,,,
ESCUELA RURAL EL CUARTEL,,,,
ESCUELA RU- RAL DE SAN MIGUEL,,,,
ESCUELA RURAL  LA MESA,,,,
COLEGIO KIRPALAMAR,,,,
GIMN CRISTIANO CORA - SEDE PRINCIPAL,,,,
ESCUELA RURAL  EL SALITRE,,,,
ESCUELA RURAL  LAS MERCEDES,,,,
ESCUELA RURAL  LA VICTORIA,,,,
ESCUELA RU- RAL  SANTA ROSA,,,,
ESCUELA RURAL  SAN ROQUE,,,,
ESCUELA  RU- RAL TISCINCE,,,,
ESCUELA RURAL  LA ARABIA,,,,
ESCUELA RURAL  EL RECUERDO,,,,
ESCUELA  RU- RAL BERLIN,,,,
ESCUELA RU- RAL PARAMI- LLO BAJO,,,,
