NOMBRE ESCUELA,latitud,longitud,Cantidad de estudiantes,Estado,Total
ESCUELA SANTA MARIA,3.948997,-74.45703,16,,
ESCUELA RURAL ALTO ARIARI N°. UNO,4.002896,-74.51118,45,,
ESCUELA RURAL BAJO ARIARI,4.020589,-74.51945,8,,
ESCUELA RURAL SANTA LUCIA,4.001251,-74.46737,35,,
ESCUELA RURAL QUEBRADA NEGRA,3.936242,-74.48927,40,,
ESCUELA RURAL NUÑEZ,3.906206,-74.50415,7,,
ESC. RURAL PAQUILO,3.989319,-74.38055,10,,
PEÑAS BLANCAS BAJA,3.983558,-74.41486,13,,
ESCUELA RURAL LA PLAYA,3.965866,-74.36608,8,,
ESCUELA RURAL PUEBLO VIEJO,3.95846,-74.40411,13,,
ESCUELA RURAL LAS AGUILAS,3.857244,-74.42892,,CIERRE TEMPORAL,
PEÑAS BLANCAS ALTA,3.956815,-74.43595,10,,
ESCUELA RURAL HOYERIAS,3.942825,-74.38427,,CIERRE TEMPORAL,
ESCUELA RURAL SAN ISIDRO,3.975329,-74.48431,4,,
ESCUELA RURAL SANTA RITA BAJA,,,32,,
ESCUELA RURAL SANTA RITA 3,,,14,,
ESC. RURAL ALTO ARIARI 2,,,47,,
ESC. RURAL SANTA MARTA,,,30,,
,,,,,332
